Option1_Avoidance98,Option2_Avoidance98,Option3_Avoidance98
2.532386222,1.736179371,0.524583581
22.75471376,15.6004105,4.713636938
85.20387561,58.41494866,17.64997528
75.41868263,51.70631549,15.62297342
43.80589497,30.03289566,9.07438726
50.26011349,34.45784511,10.41137805
28.46172893,19.51308461,5.895844625
95.36979998,65.38460756,19.75584561
138.1649123,94.72452047,28.62084934
42.71776098,29.28688157,8.8489804
24.18755678,16.58275375,5.010450243
5.966421705,4.090520708,1.235943727
