Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
107,,,,,,,,,,,,,,,,,,,2.59E-06,,
108,,,,,,,,,,,,,,,,,,,2.32E-06,,
109,,,,,,,,,,,,,,,,,,,2.07E-06,,
110,,,,,,,,,,,,,,,,,,,1.85E-06,,
111,,,,,,,,,,,,,,,,,,,1.66E-06,,
112,,,,,,,,,,,,,,,,,,,1.48E-06,,
113,,,,,,,,,,,,,,,,,,,1.32E-06,,
114,,,,,,,,,,,,,,,,,,,1.18E-06,,
115,,,,,,,,,,,,,,,,,,,1.06E-06,,
116,,,,,,,,,,,,,,,,,,,9.42E-07,,
117,,,,,,,,,,,,,,,,,,,8.40E-07,,
118,,,,,,,,,,,,,,,,,,,7.49E-07,,
119,,,,,,,,,,,,,,,,,,,6.67E-07,,
120,,,,,,,,,,,,,,,,,,,5.94E-07,,
121,,,,,,,,,,,,,,,,,,,5.29E-07,,
122,,,,,,,,,,,,,,,,,,,4.70E-07,,
123,,,,,,,,,,,,,,,,,,,4.18E-07,,
124,,,,,,,,,,,,,,,,,,,3.71E-07,,
125,,,,,,,,,,,,,,,,,,,3.30E-07,,
126,,,,,,,,,,,,,,,,,,,2.93E-07,,
127,,,,,,,,,,,,,,,,,,,2.60E-07,,
128,,,,,,,,,,,,,,,,,,,2.30E-07,,
129,,,,,,,,,,,,,,,,,,,2.04E-07,,
130,,,,,,,,,,,,,,,,,,,1.81E-07,,
131,,,,,,,,,,,,,,,,,,,1.60E-07,,
132,,,,,,,,,,,,,,,,,,,1.41E-07,,
133,,,,,,,,,,,,,,,,,,,1.25E-07,,
134,,,,,,,,,,,,,,,,,,,1.10E-07,,
135,,,,,,,,,,,,,,,,,,,9.73E-08,,
136,,,,,,,,,,,,,,,,,,,8.58E-08,,
137,,,,,,,,,,,,,,,,,,,7.56E-08,,
138,,,,,,,,,,,,,,,,,,,6.66E-08,,
139,,,,,,,,,,,,,,,,,,,5.86E-08,,
140,,,,,,,,,,,,,,,,,,,5.16E-08,,
141,,,,,,,,,,,,,,,,,,,4.53E-08,,
142,,,,,,,,,,,,,,,,,,,3.98E-08,,
143,,,,,,,,,,,,,,,,,,,3.50E-08,,
144,,,,,,,,,,,,,,,,,,,3.07E-08,,
145,,,,,,,,,,,,,,,,,,,2.69E-08,,
146,,,,,,,,,,,,,,,,,,,2.35E-08,,
147,,,,,,,,,,,,,,,,,,,2.06E-08,,
148,,,,,,,,,,,,,,,,,,,1.80E-08,,
149,,,,,,,,,,,,,,,,,,,1.57E-08,,
150,,,,,,,,,,,,,,,,,,,1.37E-08,,
151,,,,,,,,,,,,,,,,,,,1.20E-08,,
152,,,,,,,,,,,,,,,,,,,1.04E-08,,
153,,,,,,,,,,,,,,,,,,,9.09E-09,,
154,,,,,,,,,,,,,,,,,,,7.91E-09,,
155,,,,,,,,,,,,,,,,,,,6.87E-09,,
156,,,,,,,,,,,,,,,,,,,5.97E-09,,
157,,,,,,,,,,,,,,,,,,,5.18E-09,,
158,,,,,,,,,,,,,,,,,,,4.49E-09,,
159,,,,,,,,,,,,,,,,,,,3.89E-09,,
160,,,,,,,,,,,,,,,,,,,3.37E-09,,
161,,,,,,,,,,,,,,,,,,,2.91E-09,,
162,,,,,,,,,,,,,,,,,,,2.51E-09,,
163,,,,,,,,,,,,,,,,,,,2.17E-09,,
164,,,,,,,,,,,,,,,,,,,1.87E-09,,
165,,,,,,,,,,,,,,,,,,,1.61E-09,,
166,,,,,,,,,,,,,,,,,,,1.39E-09,,
167,,,,,,,,,,,,,,,,,,,1.19E-09,,
168,,,,,,,,,,,,,,,,,,,1.02E-09,,
169,,,,,,,,,,,,,,,,,,,8.78E-10,,
170,,,,,,,,,,,,,,,,,,,7.53E-10,,
171,,,,,,,,,,,,,,,,,,,6.44E-10,,
172,,,,,,,,,,,,,,,,,,,5.51E-10,,
173,,,,,,,,,,,,,,,,,,,4.71E-10,,
174,,,,,,,,,,,,,,,,,,,4.02E-10,,
175,,,,,,,,,,,,,,,,,,,3.43E-10,,
176,,,,,,,,,,,,,,,,,,,2.92E-10,,
177,,,,,,,,,,,,,,,,,,,2.48E-10,,
178,,,,,,,,,,,,,,,,,,,2.11E-10,,
179,,,,,,,,,,,,,,,,,,,1.79E-10,,
180,,,,,,,,,,,,,,,,,,,1.52E-10,,
181,,,,,,,,,,,,,,,,,,,1.28E-10,,
182,,,,,,,,,,,,,,,,,,,1.09E-10,,
183,,,,,,,,,,,,,,,,,,,9.17E-11,,
184,,,,,,,,,,,,,,,,,,,7.74E-11,,
185,,,,,,,,,,,,,,,,,,,6.52E-11,,
186,,,,,,,,,,,,,,,,,,,5.49E-11,,
187,,,,,,,,,,,,,,,,,,,4.61E-11,,
188,,,,,,,,,,,,,,,,,,,3.87E-11,,
189,,,,,,,,,,,,,,,,,,,3.25E-11,,
190,,,,,,,,,,,,,,,,,,,2.72E-11,,
191,,,,,,,,,,,,,,,,,,,2.27E-11,,
192,,,,,,,,,,,,,,,,,,,1.90E-11,,
193,,,,,,,,,,,,,,,,,,,1.58E-11,,
194,,,,,,,,,,,,,,,,,,,1.32E-11,,
195,,,,,,,,,,,,,,,,,,,1.10E-11,,
196,,,,,,,,,,,,,,,,,,,9.12E-12,,
197,,,,,,,,,,,,,,,,,,,7.57E-12,,
198,,,,,,,,,,,,,,,,,,,6.27E-12,,
199,,,,,,,,,,,,,,,,,,,5.19E-12,,
200,,,,,,,,,,,,,,,,,,,4.28E-12,,
201,,,,,,,,,,,,,,,,,,,3.53E-12,,
202,,,,,,,,,,,,,,,,,,,2.91E-12,,
203,,,,,,,,,,,,,,,,,,,2.40E-12,,
204,,,,,,,,,,,,,,,,,,,1.97E-12,,
205,,,,,,,,,,,,,,,,,,,1.61E-12,,
206,,,,,,,,,,,,,,,,,,,1.32E-12,,
207,,,,,,,,,,,,,,,,,,,1.08E-12,,
208,,,,,,,,,,,,,,,,,,,8.82E-13,,
209,,,,,,,,,,,,,,,,,,,7.19E-13,,
210,,,,,,,,,,,,,,,,,,,5.85E-13,,
211,,,,,,,,,,,,,,,,,,,4.75E-13,,
212,,,,,,,,,,,,,,,,,,,3.86E-13,,
213,,,,,,,,,,,,,,,,,,,3.12E-13,,
214,,,,,,,,,,,,,,,,,,,2.53E-13,,
215,,,,,,,,,,,,,,,,,,,2.04E-13,,
216,,,,,,,,,,,,,,,,,,,1.64E-13,,
217,,,,,,,,,,,,,,,,,,,1.32E-13,,
218,,,,,,,,,,,,,,,,,,,1.06E-13,,
219,,,,,,,,,,,,,,,,,,,8.52E-14,,
220,,,,,,,,,,,,,,,,,,,6.82E-14,,
221,,,,,,,,,,,,,,,,,,,5.45E-14,,
222,,,,,,,,,,,,,,,,,,,4.35E-14,,
223,,,,,,,,,,,,,,,,,,,3.46E-14,,
224,,,,,,,,,,,,,,,,,,,2.75E-14,,
225,,,,,,,,,,,,,,,,,,,2.18E-14,,
226,,,,,,,,,,,,,,,,,,,1.73E-14,,
227,,,,,,,,,,,,,,,,,,,1.37E-14,,
228,,,,,,,,,,,,,,,,,,,1.08E-14,,
229,,,,,,,,,,,,,,,,,,,8.51E-15,,
230,,,,,,,,,,,,,,,,,,,6.69E-15,,
231,,,,,,,,,,,,,,,,,,,5.25E-15,,
232,,,,,,,,,,,,,,,,,,,4.11E-15,,
233,,,,,,,,,,,,,,,,,,,3.22E-15,,
234,,,,,,,,,,,,,,,,,,,2.51E-15,,
235,,,,,,,,,,,,,,,,,,,1.95E-15,,
236,,,,,,,,,,,,,,,,,,,1.52E-15,,
237,,,,,,,,,,,,,,,,,,,1.18E-15,,
238,,,,,,,,,,,,,,,,,,,9.12E-16,,
239,,,,,,,,,,,,,,,,,,,7.05E-16,,
240,,,,,,,,,,,,,,,,,,,5.43E-16,,
241,,,,,,,,,,,,,,,,,,,4.18E-16,,
242,,,,,,,,,,,,,,,,,,,3.21E-16,,
243,,,,,,,,,,,,,,,,,,,2.46E-16,,
244,,,,,,,,,,,,,,,,,,,1.88E-16,,
245,,,,,,,,,,,,,,,,,,,1.44E-16,,
246,,,,,,,,,,,,,,,,,,,1.09E-16,,
247,,,,,,,,,,,,,,,,,,,8.30E-17,,
248,,,,,,,,,,,,,,,,,,,6.29E-17,,
249,,,,,,,,,,,,,,,,,,,4.76E-17,,
250,,,,,,,,,,,,,,,,,,,3.59E-17,,
251,,,,,,,,,,,,,,,,,,,2.71E-17,,
252,,,,,,,,,,,,,,,,,,,2.03E-17,,
253,,,,,,,,,,,,,,,,,,,1.52E-17,,
254,,,,,,,,,,,,,,,,,,,1.14E-17,,
255,,,,,,,,,,,,,,,,,,,8.51E-18,,
256,,,,,,,,,,,,,,,,,,,6.34E-18,,
257,,,,,,,,,,,,,,,,,,,4.71E-18,,
258,,,,,,,,,,,,,,,,,,,3.49E-18,,
259,,,,,,,,,,,,,,,,,,,2.58E-18,,
260,,,,,,,,,,,,,,,,,,,1.90E-18,,
261,,,,,,,,,,,,,,,,,,,1.40E-18,,
262,,,,,,,,,,,,,,,,,,,1.03E-18,,
263,,,,,,,,,,,,,,,,,,,7.53E-19,,
264,,,,,,,,,,,,,,,,,,,5.50E-19,,
265,,,,,,,,,,,,,,,,,,,4.01E-19,,
266,,,,,,,,,,,,,,,,,,,2.91E-19,,
267,,,,,,,,,,,,,,,,,,,2.11E-19,,
268,,,,,,,,,,,,,,,,,,,1.53E-19,,
269,,,,,,,,,,,,,,,,,,,1.10E-19,,
270,,,,,,,,,,,,,,,,,,,7.92E-20,,
271,,,,,,,,,,,,,,,,,,,5.69E-20,,
272,,,,,,,,,,,,,,,,,,,4.07E-20,,
273,,,,,,,,,,,,,,,,,,,2.91E-20,,
274,,,,,,,,,,,,,,,,,,,2.07E-20,,
275,,,,,,,,,,,,,,,,,,,1.47E-20,,
276,,,,,,,,,,,,,,,,,,,1.04E-20,,
277,,,,,,,,,,,,,,,,,,,7.35E-21,,
278,,,,,,,,,,,,,,,,,,,5.17E-21,,
279,,,,,,,,,,,,,,,,,,,3.63E-21,,
280,,,,,,,,,,,,,,,,,,,2.55E-21,,
281,,,,,,,,,,,,,,,,,,,1.78E-21,,
282,,,,,,,,,,,,,,,,,,,1.24E-21,,
283,,,,,,,,,,,,,,,,,,,8.61E-22,,
284,,,,,,,,,,,,,,,,,,,5.96E-22,,
285,,,,,,,,,,,,,,,,,,,4.12E-22,,
286,,,,,,,,,,,,,,,,,,,2.84E-22,,
287,,,,,,,,,,,,,,,,,,,1.95E-22,,
288,,,,,,,,,,,,,,,,,,,1.33E-22,,
289,,,,,,,,,,,,,,,,,,,9.10E-23,,
290,,,,,,,,,,,,,,,,,,,6.19E-23,,
291,,,,,,,,,,,,,,,,,,,4.20E-23,,
292,,,,,,,,,,,,,,,,,,,2.84E-23,,
293,,,,,,,,,,,,,,,,,,,1.92E-23,,
294,,,,,,,,,,,,,,,,,,,1.29E-23,,
295,,,,,,,,,,,,,,,,,,,8.65E-24,,
296,,,,,,,,,,,,,,,,,,,5.78E-24,,
297,,,,,,,,,,,,,,,,,,,3.85E-24,,
298,,,,,,,,,,,,,,,,,,,2.56E-24,,
299,,,,,,,,,,,,,,,,,,,1.69E-24,,
300,,,,,,,,,,,,,,,,,,,1.12E-24,,
301,,,,,,,,,,,,,,,,,,,3.12E-05,,
302,,,,,,,,,,,,,,,,,,,3.44E-05,,
303,,,,,,,,,,,,,,,,,,,3.79E-05,,
