"","Parameter","Mean","SD","Median","IQR"
"1","AvoidanceBasic",0.98,0,0.98,0
"2","AvoidanceExtended",0.98,0,0.98,0
"3","WingSpan",1.71999113910861,1.43913243573436e-05,1.71999113910861,1.01762030433328e-05
"4","BodyLength",0.94000822056495,1.27416906299517e-05,0.94000822056495,9.00973584827547e-06
"5","PCH",0.0827980814426955,1.52542808040755e-05,0.0827980814426955,1.07864053986995e-05
"6","FlightSpeed",14.9000059886476,6.81500306666327e-06,14.9000059886476,4.81893488490925e-06
"7","NocturnalActivity",0.500001559464445,2.30069414430406e-06,0.500001559464445,1.62683643090134e-06
