"","Species","Turbine","Option","Mean","SD","CV","Median","IQR"
"1","Northern_Gannet","4","1","610.550990029131","0.111216933580456","0.0182158305197654","610.550990029131","0.0786422479175144"
"2","Northern_Gannet","4","2","418.597525363644","0.000863210220732238","0.000206214840850373","418.597525363644","0.000610381800754567"
"3","Northern_Gannet","4","3","122.559875055675","0.000858524657706783","0.000700494070605722","122.559875055675","0.000607068607280326"
