"","Month","Mean","SD","CV","Median","IQR"
"1","Jan",0.525992446465394,3.06902138521171e-06,0.000583472520534309,0.525992446465394,2.17012583314524e-06
"2","Feb",4.72629837528039,3.08586128035068e-05,0.000652912921556208,4.72629837528039,2.18203343713697e-05
"3","Mar",17.6973838928215,0.000125025180018396,0.000706461366129428,17.6973838928215,8.84061526065238e-05
"4","Apr",15.6649336855531,0.000116885593802817,0.000746160795500935,15.6649336855531,8.26505960009882e-05
"5","May",9.09875778229868,7.15189633616773e-05,0.000786029973243325,9.09875778229868,5.05715439764742e-05
"6","Jun",10.4393377712963,8.21448040160932e-05,0.000786877537787467,10.4393377712963,5.80851479590194e-05
"7","Jul",5.91167746570004,4.68690774307409e-05,0.000792821964707623,5.91167746570004,3.31414424792342e-05
"8","Aug",19.8089035352341,0.000153615727628098,0.000775488291690963,19.8089035352341,0.000108622722699181
"9","Sep",28.6977226299738,0.000207770877400217,0.000723997789229474,28.6977226299738,0.000146916196342772
"10","Oct",8.87275125894178,6.05382271296747e-05,0.000682293748161435,8.87275125894178,4.28069909261808e-05
"11","Nov",5.02391030701928,3.21752175156608e-05,0.000640441718688855,5.02391030701928,2.275131449192e-05
"12","Dec",1.2392646219362,7.80362421730672e-06,0.000629697974038384,1.2392646219362,5.51799560177813e-06
