"","Month","Mean","SD","CV","Median","IQR"
"1","Jan",2.51470456220768,0.000461877483341158,0.0183670674592356,2.51470456220768,0.00032659670054791
"2","Feb",22.5958455596801,0.00413450355141697,0.0182976270593501,22.5958455596801,0.00292353549804503
"3","Mar",84.60899449848,0.0154361314722441,0.018244078615686,84.60899449848,0.0109149932393109
"4","Apr",74.8921024710198,0.0136336423148931,0.018204379186936,74.8921024710198,0.00964044093312566
"5","May",43.5000309508874,0.00790156747637414,0.0181645100098784,43.5000309508874,0.00558725194454723
"6","Jun",49.909177386967,0.00906533450982272,0.0181636624453562,49.909177386967,0.00641015950562007
"7","Jul",28.2629957716044,0.00513191507579494,0.0181577180185227,28.2629957716044,0.00362881195056985
"8","Aug",94.7039076664749,0.0172124841720301,0.0181750516912655,94.7039076664749,0.0121710642791157
"9","Sep",98.3514324411621,0.0179226375539044,0.0182230569591617,98.3514324411621,0.0126732185511003
"10","Oct",42.4195192600477,0.00775294482845259,0.018276833315635,42.4195192600477,0.00548215986236755
"11","Nov",24.0186936434443,0.00439445310678923,0.0182959705137363,24.0186936434443,0.00310734759141695
"12","Dec",5.92476541111579,0.00109231070633049,0.0184363536872049,5.92476541111579,0.000772380307608955
