"","Month","Mean","SD","CV","Median","IQR"
"1","Jan",99.9542670791689,0.3589611657073,0.359125404244107,100.067781012894,3.56365871709841e-05
"2","Feb",102.496931754532,0.368095488622118,0.359128300058446,102.613336367282,3.87151362417626e-05
"3","Mar",132.554328950467,0.476032963967534,0.35912291038448,132.704870640989,3.57042774226102e-05
"4","Apr",54.9969608448424,0.197516935653645,0.359141546404501,55.0594230143928,3.22116096000968e-05
"5","May",68.2973389206639,0.245272251823911,0.359124170428992,68.3748971392467,2.79170700565601e-05
"6","Jun",77.7208005004231,0.279116477443594,0.359127126388867,77.8090625803873,2.75322188088012e-05
"7","Jul",82.5480422064627,0.296453913714962,0.359128945751971,82.6417871850725,1.3931163067582e-05
"8","Aug",75.0211729753955,0.26941697962894,0.359121257297989,75.1063687390873,2.05310966094885e-05
"9","Sep",59.3219669023199,0.213037370266588,0.35912054402609,59.3893337114858,2.33556190778472e-05
"10","Oct",133.928600163891,0.480960669035558,0.359117222495417,134.080692928464,1.74399510228795e-05
"11","Nov",104.727477382901,0.376102741053344,0.359125179419963,104.846410384382,1.48074210244431e-05
"12","Dec",100.3779225899,0.360479727557133,0.359122522419492,100.49191365608,1.74124563017131e-05
