"","Parameter","Mean","SD","Median","IQR"
"1","AvoidanceBasic",0.950000001232337,9.82387858847385e-09,0.949999999285984,6.60327703627672e-09
"2","AvoidanceExtended",0.950000001693404,8.39495090096103e-09,0.950000001452688,1.32098364469257e-08
"3","WingSpan",1.08000000090694,8.49609564303712e-09,1.08000000128973,9.81163528201989e-09
"4","BodyLength",0.389999997367395,1.1879850620809e-08,0.389999996966328,6.34061764204219e-09
"5","PCH",0.0599999993496777,8.32677960360025e-09,0.0599999965312868,1.01871792390629e-08
"6","FlightSpeed",7.25999999659016,4.97802430148876e-09,7.25999999635816,5.77057246431423e-09
"7","NocturnalActivity",0.500000003846006,1.07876167392332e-08,0.500000002930645,1.19222646199901e-08
