"","Month","Mean","SD","CV","Median","IQR"
"1","Jan",393.304249852697,17.0817888543607,4.34314881183164,387.902532438575,5.52895070313753e-05
"2","Feb",403.309233152953,17.5163071072192,4.34314557350493,397.770157987852,0.000170084563478667
"3","Mar",521.58034360679,22.6530250426165,4.34315160076166,514.416885214628,9.63614520514966e-05
"4","Apr",216.404350831858,9.39872392733599,4.34313076017525,213.432219587274,9.67689225035429e-05
"5","May",268.739238956268,11.6717487733507,4.34315019223898,265.048330267264,0.00012516793691475
"6","Jun",305.819071156563,13.2821714651976,4.34314688582577,301.618884751123,3.03373999486212e-05
"7","Jul",324.81350437992,14.1071209904963,4.34314485089752,320.352469937473,7.15826652140095e-05
"8","Aug",295.196464089378,12.8208354130164,4.34315344953948,291.142171608018,0.000109618133137701
"9","Sep",233.42256836577,10.1379021930882,4.34315424770848,230.216700307316,7.09876629514383e-05
"10","Oct",526.987885005616,22.8879162838837,4.34315796152312,519.750079545427,0.000164016422786517
"11","Nov",412.086078350002,17.8975126520439,4.34314906334758,406.426434865009,5.92802118717373e-05
"12","Dec",394.97126784306,17.1542026558496,4.34315203471098,389.546643521743,7.87427732689139e-05
